province,district,totalPop
Herat,Gulran,93100
Herat,Adraskan,53100
Herat,Kushk,45200
Herat,Ghoryan,87500
Herat,Obe,74800
Herat,Kohsan,53700
Herat,Shindand,176800
Herat,Fersi,30300
Herat,ChishtiSharif,23500
Farah,FarahCenter,110400
Farah,Pushtrud,40200
Farah,Khak,29900
Farah,Qala,30400
Farah,Shibkoh,23100
Farah,BalaBuluk,70600
Farah,AnarDara,27500
Farah,Bakwa,35100
Farah,Lash,27700
Farah,Gulistan,42900
Farah,PurChaman,52800
Nimroz,NimrozCenter,56000
Nimroz,Kang,22100
Nimroz,Asl,23400
Nimroz,CharBurjak,26200
Nimroz,Khashrod,25100
Nimroz,Dularam,6500
